Id_bien;Type_bien ;No_voie;Type_de_voie;Voie;Code_type_de_voie;Code_voie;id_Commune
26036;Appartement;145;RUE;DE PARIS;0;760;95424
26037;Appartement;1;RUE;ANATOLE FRANCE;0;70;95306
26038;Appartement;11;PL;DE LA REPUBLIQUE;12;670;95424
26039;Appartement;7;PL;D ANJOU;12;93;9563
26040;Appartement;15;AV;CHANZY;1;160;95582
26041;Appartement;6;RUE;DE LA STATION;0;1130;9518
26042;Appartement;5;RUE;DE LA TOUR;0;711;95176
26043;Appartement;12;RUE;GRANGERET DE LA GRANGE;0;220;95306
26044;Appartement;4;RUE;DE TAVERNY;0;710;9518
26045;Appartement;35;RUE;DE SOISY;0;1860;9518
26046;Appartement;31;RUE;DE L EGLISE;0;340;9518
26047;Appartement;61;RUE;DE PARIS;0;547;9518
26048;Appartement;8;ALL;LUCIE AUBRAC;2;1176;95306
26049;Appartement;1;RUE;DU FORT;0;810;9518
26050;Maison;65;RUE;EDGAR DEGAS;0;103;95176
26051;Appartement;9;GR;GRANDE RUE;6;275;9518
26052;Appartement;15;RUE;MAURICE BERTEAUX;0;500;9518
26053;Appartement;7;AV;FOCH;1;750;95424
26054;Appartement;1;RUE;JEAN BAPTISTE LEGENDRE;0;543;9563
26055;Appartement;27;AV;DE CEINTURE;1;150;9518
26056;Appartement;3;BD;MAURICE BERTEAUX;15;490;9518
26057;Appartement;176;RUE;DU GENERAL LECLERC;0;905;9518
26058;Appartement;62;RUE;HAUTE;0;780;9518
26059;Appartement;25;RUE;DES LEVRIERS;0;468;95176
26060;Appartement;44;AV;GAL LECLERC;1;360;9518
26061;Appartement;40;BD;GAMBETTA;15;900;95176
26062;Appartement;1;AV;FOCH;1;460;95582
26063;Maison;13;AV;RESIDENCE;1;1800;95306
26064;Appartement;96;RUE;DE LA REPUBLIQUE;0;4560;9563
26065;Appartement;25;RUE;ALFRED LABRIERE;0;100;95306
26066;Appartement;5;AV;ACHILLE ARCHAMBAULT;1;14;95306
26067;Maison;2;ALL;DES ACACIAS;2;10;9518
26068;Appartement;39;RUE;DUGUAY;0;1830;95424
26069;Maison;17;ALL;PAUL GAUGUIN;2;652;95306
26070;Appartement;5;MAIL;JEAN BAPTISTE POQUELIN;9;844;95306
26071;Appartement;25;AV;GABRIEL PERI;1;750;9518
26072;Appartement;88;QUAI;DE SEINE;24;151;95306
26073;Appartement;7;RUE;DU DOCTEUR LERAY;0;1750;95306
26074;Maison;6;ALL;FANTIN LATOUR;2;318;9563
26075;Appartement;13;AV;ARISTIDE MAILLOL;1;51;95257
26076;Appartement;4;PL;DU 11 NOVEMBRE;12;953;95582
26077;Appartement;117;QUAI;DE SEINE;24;151;95582
26078;Appartement;44;QUAI;DU GENIE;24;625;9518
26079;Appartement;10;AV;DU DOCTEUR FLAMENT;1;407;95582
26080;Appartement;3;RUE;AUGUSTE RENOIR;0;54;95582
26081;Appartement;81;BD;CHARLES DE GAULLE;15;490;95176
26082;Appartement;24;RUE;DE LA BERTHIE;0;280;9518
26083;Appartement;33;BD;CHARLES DE GAULLE;15;490;9518
26084;Appartement;6;RUE;JOHN LENNON;0;557;9518
26085;Appartement;5;MAIL;PAUL VERLAINE;9;1598;9563
26086;Appartement;16;AV;DU MARECHAL FOCH;1;3400;95176
26087;Appartement;59;RUE;DE CHANTEPUITS;0;180;95176
26088;Appartement;26;RUE;DES TARTRES;0;1990;9518
26089;Appartement;96;RUE;EDOUARD VAILLANT;0;610;95424
26090;Appartement;199;RUE;HENRI BARBUSSE;0;2560;9518
26091;Appartement;16;RUE;ARISTIDE BRIAND;0;50;9518
26092;Appartement;118;RUE;DU MOULIN SARRAZIN;0;3730;9563
